,ADD_LIKE_BINARY_1,ADD_LIKE_BINARY_2,ADD_LIKE_BINARY_3,ADD_LIKE_BINARY_4,ADD_LIKE_BINARY_5,ADD_LIKE_BINARY_6,AGE,LIVING,STATE,GENDER
168,2.0,1.0,2.0,2.0,1.0,2.0,21,2,46,2
169,1.0,1.0,1.0,1.0,1.0,1.0,32,3,13,1
170,1.0,1.0,1.0,1.0,1.0,1.0,21,2,10,2
171,1.0,1.0,1.0,1.0,1.0,1.0,24,1,25,2
172,1.0,1.0,1.0,1.0,1.0,1.0,31,1,2,1
173,2.0,2.0,2.0,1.0,1.0,2.0,24,1,38,2
174,1.0,1.0,1.0,1.0,1.0,1.0,22,1,42,1
175,1.0,1.0,1.0,1.0,1.0,1.0,40,3,13,1
176,1.0,1.0,1.0,1.0,1.0,1.0,22,3,32,2
177,1.0,1.0,1.0,1.0,1.0,1.0,29,3,10,1
178,2.0,1.0,1.0,1.0,1.0,2.0,23,2,30,1
179,1.0,1.0,1.0,1.0,1.0,1.0,37,3,18,1
180,1.0,1.0,1.0,1.0,1.0,1.0,32,2,29,1
181,1.0,1.0,1.0,1.0,1.0,1.0,33,3,36,1
182,1.0,1.0,1.0,1.0,1.0,1.0,35,1,3,2
183,1.0,1.0,1.0,1.0,1.0,1.0,25,4,8,2
184,2.0,2.0,2.0,1.0,1.0,2.0,53,3,21,2
185,2.0,2.0,2.0,2.0,2.0,2.0,39,1,19,2
186,2.0,2.0,2.0,1.0,1.0,1.0,48,2,10,1
187,2.0,1.0,2.0,1.0,1.0,1.0,38,3,32,1
188,1.0,1.0,2.0,1.0,1.0,1.0,34,1,36,1
189,2.0,2.0,2.0,1.0,1.0,1.0,24,3,32,2
190,2.0,2.0,2.0,1.0,1.0,1.0,28,4,42,1
191,1.0,1.0,1.0,1.0,1.0,1.0,50,3,4,1
192,1.0,1.0,1.0,1.0,1.0,1.0,39,2,0,1
193,1.0,1.0,1.0,1.0,1.0,1.0,32,2,22,1
194,2.0,2.0,1.0,2.0,1.0,2.0,25,2,4,1
195,1.0,1.0,2.0,1.0,2.0,1.0,40,1,6,1
196,1.0,1.0,2.0,1.0,1.0,1.0,24,1,38,2
197,1.0,1.0,2.0,1.0,1.0,1.0,28,3,6,1
198,2.0,2.0,2.0,1.0,1.0,1.0,40,2,21,1
199,1.0,2.0,2.0,1.0,1.0,1.0,51,2,24,1
200,1.0,1.0,1.0,1.0,1.0,1.0,37,2,30,2
201,2.0,2.0,1.0,1.0,2.0,2.0,35,3,44,1
202,1.0,1.0,1.0,1.0,1.0,1.0,20,3,46,1
203,1.0,1.0,2.0,1.0,1.0,1.0,20,2,37,2
204,1.0,1.0,1.0,1.0,1.0,1.0,22,2,23,2
205,2.0,2.0,1.0,2.0,2.0,2.0,33,3,29,2
206,1.0,1.0,1.0,2.0,1.0,2.0,40,3,35,1
207,2.0,1.0,2.0,1.0,1.0,1.0,30,3,43,2
208,1.0,2.0,1.0,2.0,2.0,1.0,26,3,2,1
209,2.0,2.0,2.0,1.0,1.0,2.0,49,3,46,1
210,1.0,2.0,2.0,2.0,1.0,1.0,33,2,42,2
211,1.0,1.0,1.0,1.0,1.0,1.0,27,1,21,2
212,1.0,1.0,1.0,1.0,1.0,1.0,33,2,10,1
213,1.0,1.0,1.0,1.0,1.0,1.0,35,1,43,1
214,1.0,1.0,1.0,1.0,1.0,1.0,28,2,5,1
215,2.0,1.0,1.0,1.0,1.0,1.0,29,1,43,1
216,1.0,1.0,1.0,1.0,2.0,2.0,40,1,14,1
217,1.0,1.0,2.0,1.0,1.0,1.0,38,2,13,1
218,1.0,1.0,1.0,1.0,1.0,1.0,39,3,22,1
219,1.0,1.0,2.0,1.0,1.0,1.0,39,2,30,2
220,1.0,1.0,1.0,1.0,1.0,1.0,30,1,3,1
221,1.0,1.0,1.0,1.0,1.0,1.0,21,1,5,2
222,1.0,1.0,1.0,1.0,1.0,1.0,29,1,6,2
223,1.0,1.0,1.0,1.0,1.0,1.0,53,1,32,2
224,2.0,1.0,1.0,1.0,1.0,2.0,24,2,2,1
225,1.0,1.0,1.0,1.0,1.0,1.0,31,3,13,1
226,1.0,1.0,1.0,1.0,1.0,1.0,21,1,16,1
227,2.0,2.0,1.0,1.0,2.0,1.0,18,2,32,1
228,1.0,1.0,1.0,1.0,1.0,1.0,37,3,13,1
229,1.0,1.0,1.0,1.0,1.0,1.0,41,2,23,1
230,1.0,1.0,1.0,1.0,2.0,1.0,31,2,8,2
231,1.0,1.0,2.0,1.0,1.0,2.0,21,4,0,2
232,2.0,1.0,1.0,1.0,1.0,2.0,25,2,9,1
233,2.0,2.0,1.0,2.0,1.0,1.0,20,2,10,1
234,1.0,1.0,1.0,1.0,1.0,1.0,46,3,49,1
235,2.0,1.0,1.0,1.0,1.0,2.0,21,3,33,2
236,1.0,1.0,1.0,1.0,1.0,1.0,42,3,32,1
237,1.0,2.0,1.0,1.0,1.0,2.0,21,1,32,1
238,1.0,1.0,1.0,1.0,1.0,1.0,31,2,30,2
239,1.0,1.0,1.0,1.0,1.0,1.0,33,3,13,1
240,1.0,1.0,1.0,1.0,1.0,1.0,27,1,31,1
241,1.0,2.0,2.0,1.0,1.0,1.0,22,2,38,1
242,2.0,2.0,2.0,2.0,2.0,2.0,36,2,33,1
243,1.0,2.0,1.0,1.0,1.0,2.0,21,2,4,1
244,2.0,2.0,2.0,1.0,1.0,1.0,39,1,5,1
245,1.0,1.0,1.0,1.0,1.0,1.0,31,2,47,1
246,1.0,1.0,1.0,1.0,1.0,1.0,22,2,4,1
247,1.0,1.0,1.0,1.0,1.0,1.0,21,1,43,1
248,2.0,1.0,1.0,2.0,2.0,1.0,21,4,3,2
249,1.0,1.0,1.0,1.0,1.0,1.0,23,2,9,1
250,2.0,1.0,2.0,2.0,1.0,1.0,25,4,2,1
251,1.0,2.0,1.0,2.0,1.0,2.0,21,1,22,1
252,1.0,1.0,1.0,1.0,1.0,2.0,27,2,30,1
253,1.0,1.0,2.0,1.0,1.0,1.0,20,2,4,2
254,1.0,1.0,2.0,1.0,1.0,1.0,28,2,19,2
255,1.0,1.0,1.0,1.0,1.0,1.0,22,4,3,1
256,1.0,1.0,1.0,1.0,1.0,1.0,24,3,32,2
257,1.0,1.0,2.0,1.0,1.0,1.0,20,1,16,1
258,1.0,1.0,2.0,1.0,1.0,1.0,23,1,38,1
259,2.0,1.0,1.0,1.0,1.0,1.0,31,3,33,1
260,2.0,2.0,1.0,2.0,2.0,2.0,26,1,10,1
261,1.0,1.0,1.0,1.0,1.0,1.0,22,2,4,1
262,2.0,1.0,1.0,2.0,1.0,1.0,36,3,38,1
263,1.0,1.0,1.0,1.0,1.0,1.0,25,3,4,2
264,1.0,1.0,2.0,1.0,1.0,1.0,55,1,30,1
265,1.0,1.0,1.0,2.0,1.0,1.0,21,2,14,2
266,1.0,1.0,2.0,2.0,1.0,2.0,23,3,4,1
267,2.0,2.0,2.0,1.0,2.0,2.0,18,2,46,2
268,1.0,1.0,1.0,1.0,1.0,1.0,25,2,35,2
269,1.0,1.0,1.0,1.0,1.0,1.0,25,2,13,2
270,1.0,1.0,1.0,1.0,1.0,1.0,22,2,30,2
271,1.0,2.0,2.0,1.0,1.0,1.0,21,2,2,2
272,1.0,1.0,1.0,1.0,1.0,1.0,31,2,22,2
273,1.0,1.0,1.0,1.0,1.0,1.0,23,3,32,1
274,1.0,1.0,2.0,1.0,1.0,1.0,53,3,13,2
275,1.0,1.0,1.0,1.0,1.0,1.0,29,1,35,2
276,2.0,2.0,2.0,1.0,1.0,2.0,33,2,4,1
277,1.0,1.0,1.0,1.0,1.0,1.0,39,3,32,1
278,2.0,2.0,2.0,1.0,1.0,1.0,30,2,34,1
279,1.0,1.0,1.0,1.0,1.0,1.0,30,2,23,2
280,2.0,2.0,2.0,2.0,2.0,2.0,37,3,22,2
281,1.0,1.0,1.0,1.0,1.0,1.0,32,3,38,1
282,1.0,1.0,1.0,2.0,1.0,1.0,19,2,38,1
283,1.0,1.0,2.0,1.0,1.0,1.0,21,2,39,1
284,2.0,1.0,1.0,2.0,1.0,2.0,18,2,4,1
285,1.0,2.0,2.0,2.0,2.0,1.0,34,3,43,1
